DATE,DESCRIPTION,DEBIT,CREDIT,BALANCE,CLASSIFICATION_TRANS
04-01-2024,CASH DEPOSIT-SIN,,1000.00,7387.888,CASH
04-01-2024,CASH DEPOSIT-SIN,,45.00,7432.888,CASH
04-01-2024,CASH CHQ,7000.00,,432.888,CASH
07-01-2024,CASH DEPOSIT-SIN,,750.00,1182.888,CASH
07-01-2024,CASH DEPOSIT-SIN,,375.00,1557.888,CASH
07-01-2024,CASH DEPOSIT-SIN,,700.00,2257.888,CASH
07-01-2024,CASH DEPOSIT-SIN,,200.00,2457.888,CASH
07-01-2024,CASH DEPOSIT-SIN,,300.00,2757.888,CASH
07-01-2024,CASH DEPOSIT-SIN,,197.00,2954.888,CASH
07-01-2024,CASH DEPOSIT-SIN,,855.00,3809.888,CASH
07-01-2024,CASH DEPOSIT-SIN,,500.00,4309.888,CASH
07-01-2024,000000000122838:,,1270.19,5580.077,TRANSFER
07-01-2024,000000000122838:,,984.53,6564.610,TRANSFER
07-01-2024,000000000122838:,,1114.81,7679.424,TRANSFER
07-01-2024,CASH DEPOSIT-SIN,,700.00,8379.424,CASH
07-01-2024,CASH DEPOSIT-SIN,,45.00,8424.424,CASH
07-01-2024,CASH CHQ,4000.00,,4424.424,CASH
08-01-2024,CASH CHQ,4000.00,,424.424,CASH
08-01-2024,000000000122838:,,834.77,1259.192,TRANSFER
08-01-2024,CASH DEPOSIT-SIN,,625.00,1884.192,CASH
08-01-2024,CASH DEPOSIT-SIN,,650.00,2534.192,CASH
08-01-2024,CASH DEPOSIT-SIN,,290.00,2824.192,CASH
08-01-2024,CASH DEPOSIT-SIN,,300.00,3124.192,CASH
08-01-2024,CASH DEPOSIT-SIN,,290.00,3414.192,CASH
08-01-2024,CASH CHQ,1200.00,,2214.192,CASH
09-01-2024,000000000122838:,,954.70,3168.896,TRANSFER
09-01-2024,CASH DEPOSIT-SIN,,800.00,3968.896,CASH
09-01-2024,CASH DEPOSIT-SIN,,200.00,4168.896,CASH
09-01-2024,CASH DEPOSIT-SIN,,350.00,4518.896,CASH
09-01-2024,CASH DEPOSIT-SIN,,135.00,4653.896,CASH
10-01-2024,000000000122838:,,1098.68,5752.572,TRANSFER
10-01-2024,CASH CHQ,5000.00,,752.572,CASH
10-01-2024,CASH DEPOSIT-SIN,,165.00,917.572,CASH
10-01-2024,CASH DEPOSIT-SIN,,600.00,1517.572,CASH
10-01-2024,CASH DEPOSIT-SIN,,300.00,1817.572,CASH
14-01-2024,000000000122838:,,870.86,2688.436,TRANSFER
14-01-2024,CASH DEPOSIT-SIN,,350.00,3038.436,CASH
14-01-2024,CASH DEPOSIT-SIN,,150.00,3188.436,CASH
14-01-2024,CASH DEPOSIT-SIN,,176.70,3365.136,CASH
14-01-2024,CASH DEPOSIT-SIN,,500.00,3865.136,CASH
14-01-2024,CASH DEPOSIT-SIN,,500.00,4365.136,CASH
14-01-2024,CASH DEPOSIT-SIN,,70.00,4435.136,CASH
14-01-2024,000000000122838:,,960.25,5395.381,TRANSFER
14-01-2024,000000000122838:,,924.07,6319.448,TRANSFER
14-01-2024,000000000122838:,,815.80,7135.252,TRANSFER
14-01-2024,CASH CHQ,3300.00,,3835.252,CASH
15-01-2024,CASH DEPOSIT-SIN,,170.00,4005.252,CASH
15-01-2024,CASH DEPOSIT-SIN,,525.00,4530.252,CASH
15-01-2024,CASH CHQ,3000.00,,1530.252,CASH
15-01-2024,000000000122838:,,933.05,2463.305,TRANSFER
16-01-2024,000000000122838:,,749.40,3212.703,TRANSFER
16-01-2024,CASH DEPOSIT-SIN,,455.00,3667.703,CASH
16-01-2024,CASH DEPOSIT-SIN,,61.60,3729.303,CASH
16-01-2024,CASH DEPOSIT-SIN,,550.00,4279.303,CASH
16-01-2024,CASH DEPOSIT-SIN,,250.00,4529.303,CASH
16-01-2024,CASH DEPOSIT-SIN,,250.00,4779.303,CASH
16-01-2024,CASH CHQ,2000.00,,2779.303,CASH
17-01-2024,000000000122838:,,400.36,3179.665,TRANSFER
17-01-2024,CASH DEPOSIT-SIN,,525.00,3704.665,CASH
17-01-2024,CASH DEPOSIT-SIN,,180.00,3884.665,CASH
17-01-2024,CASH DEPOSIT-SIN,,100.00,3984.665,CASH
18-01-2024,000000000122838:,,297.21,4281.874,TRANSFER
18-01-2024,CASH DEPOSIT-SIN,,170.00,4451.874,CASH
18-01-2024,CASH DEPOSIT-SIN,,110.00,4561.874,CASH
18-01-2024,CASH DEPOSIT-SIN,,212.00,4773.874,CASH
18-01-2024,CASH DEPOSIT-SIN,,565.00,5338.874,CASH
18-01-2024,CASH CHQ,3000.00,,2338.874,CASH
21-01-2024,000000000122838:,,478.08,2816.955,TRANSFER
21-01-2024,000000000122838:,,1027.20,3844.155,TRANSFER
21-01-2024,000000000122838:,,788.87,4633.022,TRANSFER
21-01-2024,CASH CHQ,3000.00,,1633.022,CASH
22-01-2024,000000000122838:,,562.47,2195.489,TRANSFER
22-01-2024,CASH CHQ,1000.00,,1195.489,CASH
23-01-2024,000000000122838:,,1621.18,2816.667,TRANSFER
24-01-2024,000000000122838:,,1149.52,3966.183,TRANSFER
24-01-2024,CASH DEPOSIT-SIN,,200.00,4166.183,CASH
24-01-2024,CASH DEPOSIT-SIN,,112.50,4278.683,CASH
24-01-2024,CASH DEPOSIT-SIN,,250.00,4528.683,CASH
24-01-2024,CASH DEPOSIT-SIN,,350.00,4878.683,CASH
25-01-2024,000000000122838:,,817.31,5695.992,TRANSFER
28-01-2024,CASH CHQ,5000.00,,695.992,CASH
28-01-2024,000000000122838:,,1404.55,2100.544,TRANSFER
28-01-2024,000000000122838:,,990.77,3091.313,TRANSFER
28-01-2024,000000000122838:,,1411.27,4502.586,TRANSFER
29-01-2024,000000000122838:,,1032.58,5535.163,TRANSFER
29-01-2024,CASH DEPOSIT-SIN,,250.00,5785.163,CASH
29-01-2024,CASH DEPOSIT-SIN,,205.00,5990.163,CASH
30-01-2024,000000000122838:,,1494.04,7484.207,TRANSFER
31-01-2024,000000000122838:,,896.80,8381.002,TRANSFER
31-01-2024,CHQ,2310.00,,6071.002,CHQ
31-01-2024,CASH CHQ,2480.00,,3591.002,CASH
31-01-2024,CHQ,510.00,,3081.002,CHQ
01-02-2024,000000000122838:,,833.65,3914.652,TRANSFER
01-02-2024,INW CHQ,209.00,,3705.652,CHQ
01-02-2024,CASH DEPOSIT-SIN,,175.00,3880.652,CASH
04-02-2024,CASH DEPOSIT-SIN,,1350.00,5230.652,CASH
04-02-2024,CASH DEPOSIT-SIN,,400.00,5630.652,CASH
04-02-2024,000000000122838:,,1383.24,7013.889,TRANSFER
04-02-2024,000000000122838:,,919.37,7933.256,TRANSFER
04-02-2024,000000000122838:,,864.53,8797.788,TRANSFER
04-02-2024,CASH CHQ,7000.00,,1797.788,CASH
05-02-2024,000000000122838:,,696.03,2493.816,TRANSFER
06-02-2024,000000000122838:,,1000.56,3494.372,TRANSFER
06-02-2024,CASH CHQ,2000.00,,1494.372,CASH
07-02-2024,000000000122838:,,582.47,2076.837,TRANSFER
11-02-2024,000000000122838:,,778.07,2854.902,TRANSFER
11-02-2024,000000000122838:,,1613.69,4468.592,TRANSFER
11-02-2024,000000000122838:,,599.07,5067.657,TRANSFER
11-02-2024,000000000122838:,,1109.92,6177.574,TRANSFER
11-02-2024,CASH CHQ,5000.00,,1177.574,CASH
13-02-2024,000000000122838:,,688.38,1865.949,TRANSFER
13-02-2024,DESERT INTERNASH,,46726.90,48592.853,INTER-FIRM
13-02-2024,000000000122838:,,354.22,48947.077,TRANSFER
14-02-2024,000000000122838:,,448.91,49395.982,TRANSFER
14-02-2024,CASH CHQ,25000.00,,24395.982,CASH
14-02-2024,CASH DEPOSIT-SIN,,315.00,24710.982,CASH
14-02-2024,CASH DEPOSIT-SIN,,309.80,25020.782,CASH
14-02-2024,CASH DEPOSIT-SIN,,300.00,25320.782,CASH
14-02-2024,CASH DEPOSIT-SIN,,300.00,25620.782,CASH
15-02-2024,000000000122838:,,722.78,26343.560,TRANSFER
15-02-2024,CASH CHQ,6000.00,,20343.560,CASH
15-02-2024,CASH DEPOSIT-SIN,,155.00,20498.560,CASH
15-02-2024,CASH DEPOSIT-SIN,,245.00,20743.560,CASH
15-02-2024,CASH DEPOSIT-SIN,,600.00,21343.560,CASH
18-02-2024,000000000122838:,,789.88,22133.442,TRANSFER
18-02-2024,000000000122838:,,889.26,23022.703,TRANSFER
18-02-2024,000000000122838:,,770.89,23793.591,TRANSFER
18-02-2024,CASH DEPOSIT-SIN,,250.00,24043.591,CASH
18-02-2024,CASH DEPOSIT-SIN,,150.00,24193.591,CASH
19-02-2024,000000000122838:,,718.62,24912.215,TRANSFER
20-02-2024,000000000122838:,,500.74,25412.950,TRANSFER
20-02-2024,TRF FROM SAID,15000.00,,10412.950,TRANSFER
21-02-2024,000000000122838:,,623.84,11036.791,TRANSFER
22-02-2024,000000000122838:,,837.26,11874.046,TRANSFER
25-02-2024,000000000122838:,,1576.00,13450.045,TRANSFER
25-02-2024,000000000122838:,,1279.10,14729.148,TRANSFER
25-02-2024,000000000122838:,,1697.14,16426.285,TRANSFER
26-02-2024,000000000122838:,,1040.82,17467.108,TRANSFER
27-02-2024,CASH CHQ,10000.00,,7467.108,CASH
27-02-2024,000000000122838:,,867.70,8334.812,TRANSFER
28-02-2024,000000000122838:,,811.68,9146.493,TRANSFER
29-02-2024,000000000122838:,,976.01,10122.504,TRANSFER
29-02-2024,CASH DEPOSIT-SIN,,400.00,10522.504,CASH
03-03-2024,000000000122838:,,1273.50,11796.005,TRANSFER
03-03-2024,CASH DEPOSIT-SIN,,2000.00,13796.005,CASH
03-03-2024,CASH DEPOSIT-SIN,,250.00,14046.005,CASH
03-03-2024,CASH DEPOSIT-SIN,,600.00,14646.005,CASH
03-03-2024,CASH DEPOSIT-SIN,,450.00,15096.005,CASH
03-03-2024,CASH DEPOSIT-SIN,,600.00,15696.005,CASH
03-03-2024,000000000122838:,,1557.34,17253.340,TRANSFER
03-03-2024,000000000122838:,,1640.98,18894.321,TRANSFER
03-03-2024,INW CHQ,209.00,,18685.321,CHQ
03-03-2024,CASH CHQ,13000.00,,5685.321,CASH
03-03-2024,INW CHQ,1200.00,,4485.321,CHQ
04-03-2024,000000000122838:,,1527.50,6012.825,TRANSFER
04-03-2024,CHQ,510.00,,5502.825,CHQ
04-03-2024,CHQ,2310.00,,3192.825,CHQ
05-03-2024,000000000122838:,,1525.92,4718.740,TRANSFER
05-03-2024,CASH DEPOSIT-SIN,,850.00,5568.740,CASH
05-03-2024,CASH DEPOSIT-SIN,,600.00,6168.740,CASH
06-03-2024,000000000122838:,,1413.27,7582.012,TRANSFER
07-03-2024,000000000122838:,,702.05,8284.061,TRANSFER
07-03-2024,CASH CHQ,7000.00,,1284.061,CASH
10-03-2024,000000000122838:,,2343.21,3627.274,TRANSFER
10-03-2024,000000000122838:,,1483.81,5111.082,TRANSFER
10-03-2024,000000000122838:,,1479.94,6591.018,TRANSFER
10-03-2024,CASH DEPOSIT-SIN,,300.00,6891.018,CASH
10-03-2024,CASH DEPOSIT-SIN,,350.00,7241.018,CASH
10-03-2024,CASH DEPOSIT-SIN,,1500.00,8741.018,CASH
10-03-2024,CASH DEPOSIT-SIN,,300.00,9041.018,CASH
10-03-2024,CASH DEPOSIT-SIN,,600.00,9641.018,CASH
10-03-2024,CASH DEPOSIT-SIN,,450.00,10091.018,CASH
11-03-2024,000000000122838:,,1125.77,11216.785,TRANSFER
12-03-2024,000000000122838:,,1493.02,12709.808,TRANSFER
12-03-2024,CASH CHQ,12000.00,,709.808,CASH
13-03-2024,000000000122838:,,869.77,1579.573,TRANSFER
14-03-2024,000000000122838:,,565.88,2145.450,TRANSFER
17-03-2024,000000000122838:,,702.07,2847.523,TRANSFER
17-03-2024,000000000122838:,,735.15,3582.674,TRANSFER
17-03-2024,000000000122838:,,1184.50,4767.174,TRANSFER
18-03-2024,000000000122838:,,729.67,5496.843,TRANSFER
19-03-2024,000000000122838:,,494.71,5991.548,TRANSFER
20-03-2024,000000000122838:,,697.03,6688.575,TRANSFER
21-03-2024,000000000122838:,,1003.05,7691.624,TRANSFER
24-03-2024,000000000122838:,,1878.61,9570.232,TRANSFER
24-03-2024,000000000122838:,,738.34,10308.575,TRANSFER
24-03-2024,000000000122838:,,1349.30,11657.873,TRANSFER
25-03-2024,000000000122838:,,602.92,12260.797,TRANSFER
25-03-2024,CASH CHQ,12000.00,,260.797,CASH
26-03-2024,OTHERS DESERT IN,,2023.50,2284.292,INTER-FIRM
26-03-2024,000000000122838:,,654.12,2938.413,TRANSFER
27-03-2024,000000000122838:,,619.94,3558.357,TRANSFER
28-03-2024,000000000122838:,,606.36,4164.721,TRANSFER
31-03-2024,000000000122838:,,753.63,4918.350,TRANSFER
31-03-2024,000000000122838:,,539.77,5458.119,TRANSFER
31-03-2024,000000000122838:,,752.64,6210.755,TRANSFER
31-03-2024,CASH CHQ,1900.00,,4310.755,CASH
01-04-2024,000000000122838:,,709.54,5020.291,TRANSFER
01-04-2024,INW CHQ,209.00,,4811.291,CHQ
01-04-2024,CHQ,1161.00,,3650.291,CHQ
01-04-2024,CHQ,2310.00,,1340.291,CHQ
02-04-2024,000000000122838:,,922.07,2262.364,TRANSFER
02-04-2024,CASH CHQ,2200.00,,62.364,CASH
03-04-2024,000000000122838:,,842.22,904.582,TRANSFER
04-04-2024,000000000122838:,,652.91,1557.494,TRANSFER
04-04-2024,CASH DEPOSIT-SIN,,900.00,2457.494,CASH
04-04-2024,CASH DEPOSIT-SIN,,350.00,2807.494,CASH
04-04-2024,CASH CHQ,2800.00,,7.494,CASH
07-04-2024,000000000122838:,,657.52,665.010,TRANSFER
07-04-2024,000000000122838:,,642.57,1307.578,TRANSFER
